Video Name,Total Frames,Processed Frames,Total Time (s),Process FPS
105_combined,32385,1295,117.29031300544739,11.040979999259235
20240501_20240501115227_20240501130415_115227,10770,430,38.74800896644592,11.097344391872138
20240501_20240501130415_20240501141554_130415,10750,430,38.8871808052063,11.057628531982207
20240501_20240501141554_20240501152820_141555,10865,434,37.79345703125,11.483469205824214
20240501_20240501140806_20240501152004_140807,10795,431,37.38187074661255,11.52965304817058
103_combined,21490,859,77.94427371025085,11.020694133262909
20240501_20240501125647_20240501140806_125649,10695,427,38.86715292930603,10.986140424966395
108_combined,54643,2185,202.64552998542786,10.782374524407828
20240501_20240501113543_20240501135236_113542,27323,1092,99.26455116271973,11.00090603552859
20240501_20240501135236_20240501160912_135235,27320,1092,100.9942889213562,10.812492584113697
20240501_20240501135755_20240501161432_135755,27325,1093,104.99329209327698,10.410188862627233
20240501_20240501114103_20240501135755_114103,27322,1092,136.74739813804626,7.985526707408559
107_combined,54647,2185,229.20434617996216,9.532978045208727
